一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
诺贝尔平行壁骨内牙种植体（5.0x10mm）,骨内牙种植体,牙科植入物,1,0,10093,90,10183
Restore Ultra脊髓刺激器（全植入式镇痛）,脊髓刺激器,神经调控设备,1,5,4411,5754,10172
CareLink起搏器程控仪,起搏器程控仪,心脏节律管理设备,1,0,202,9962,10164
Camlog螺旋线种植体Promote,骨内牙种植体,牙科植入物,1,1,10149,1,10151
骨内牙种植体（4.1mm RN，SLA 10mm，钛，Loxim）,骨内牙种植体,牙科植入物,1,0,10147,0,10147
Paradigm实时胰岛素输注泵（MMT-754WWS）,胰岛素输注泵,胰岛素泵及闭环系统,1,3,149,9977,10129
骨内牙种植体（4.8mm WN，SLA 8mm，Tizr，NTP）,骨内牙种植体,牙科植入物,1,0,10122,0,10122
Constellation超声乳化系统,超声乳化仪,眼科手术设备,1,3,831,9267,10102
Intellis脊髓刺激器（全植入式镇痛）,脊髓刺激器,神经调控设备,1,3,3247,6827,10077
Restore Sensor脊髓刺激器（全植入式镇痛）,脊髓刺激器,神经调控设备,1,9,4029,5936,9974
DreamStation CPAP Pro呼吸机,持续气道正压通气设备,呼吸支持设备,1,86,1383,8494,9963
Minicap腹膜透析转移管路（一次性）,腹膜透析管路,透析设备及耗材,1,116,2942,6871,9933
Sprint Quattro Secure植入式心律转复除颤器电极,植入式心律转复除颤器电极,心脏节律管理设备,1,313,7172,2402,9887
诺贝尔平行壁TiUltra骨内牙种植体（NP 3.75x10mm）,骨内牙种植体,牙科植入物,1,0,9751,123,9874
诺贝尔Replace PMC骨内牙种植体（RP 4.3x11.5mm）,骨内牙种植体,牙科植入物,1,0,9781,79,9860
EVIS Lucera Elite消化道电子内窥镜,电子消化道内窥镜,内窥镜设备,1,3,97,9753,9853
恩莱特传感器 MMT-7008A,人工胰腺系统组件,胰岛素泵及人工胰腺系统,1,26,1331,8496,9853
利伯蒂循环管路套件（单连接/延长双管路）,腹膜透析管路及附件,腹膜透析设备,1,32,3035,6768,9837
斯特朗SW牙种植体,牙种植体系统,口腔种植体,1,0,9758,0,9758
斯普林特夸特罗安全型植入式心动过速电极,植入式心脏电极导线,心脏节律管理设备,1,751,5294,3633,9679
血糖监测仪,血糖监测系统,糖尿病管理设备,12,22,5192,3959,9538
哈特韦尔心室辅助系统,心室辅助装置,循环辅助设备,1,732,2431,6358,9533
心室辅助系统,循环辅助装置,心血管植入物,1,732,2431,6358,9533
心辅助系统,心室辅助装置,循环支持系统,1,732,2431,6358,9533
HeartWare 心室辅助系统,心室辅助装置,循环支持系统,1,732,2431,6358,9533
HeartWare心室辅助系统,循环辅助系统,心脏辅助装置,1,732,2431,6358,9533
诺贝尔Active内连接RP 5.0x11.5mm牙种植体,牙种植体系统,口腔种植体,1,1,9390,140,9531
哈特斯塔特XL除颤器,除颤器,急救及生命支持设备,1,64,196,9268,9529
BLT 3.3mm NC SLA 8mm TIZR LOXIM牙种植体,牙种植体系统,口腔种植体,1,0,9508,0,9508
硅凝胶乳房植入体,乳房植入体,整形外科植入物,4,0,9454,36,9493
BLT 3.3mm NC SLA 10mm TI LOXIM牙种植体,牙种植体系统,口腔种植体,1,0,9451,0,9451
电外科切割凝血设备及附件,电外科手术器械,手术能量设备,2,9,606,8825,9444
骨内牙种植体,牙种植体系统,口腔科植入物,17,0,9409,24,9433
诺贝尔Replace锥形沟槽WP 5x10mm牙种植体,牙种植体系统,口腔种植体,1,0,9310,9,9319
SP 4.1mm RN SLActive 8mm TIZR NTP牙种植体,牙种植体系统,口腔种植体,1,0,9236,0,9236
史赛克S8手术导航系统,神经外科导航系统,手术导航及立体定向设备,1,11,206,9008,9225
诺贝尔Parallel CC RP 5.0x8.5mm牙种植体,牙种植体系统,口腔种植体,1,0,9138,47,9185
诺贝尔Active TiUltra RP 4.3x11.5mm牙种植体,牙种植体系统,口腔种植体,1,1,8915,161,9077
英捷维蒂+植入式电极导线,植入式心脏电极导线,心脏节律管理设备,1,6,6902,2162,9070
米尼卡普高通量透析器,透析器,血液净化设备,1,129,3018,5908,9065
爱尔康AcrySof人工晶状体,人工晶状体,眼科植入物,1,0,4498,3122,9043
CADD-Solis VIP便携式输液泵,便携式输液泵,输液泵及输注系统,1,7,8,9009,9024
奥林巴斯EVIS EXERA III视频系统中心,内窥镜视频系统,内窥镜成像设备,1,0,69,8952,9021
阿祖瑞安介入透视X射线系统,介入X射线系统,X射线成像设备,1,10,52,8951,9013
自由式血糖监测系统,血糖监测系统,糖尿病管理设备,1,5,961,8025,8998
美敦力670G胰岛素泵（黑色）,胰岛素泵/人工胰腺系统,糖尿病管理设备,1,12,2333,6653,8998
奥林巴斯EVIS LUCERA ELITE结肠电子内窥镜,电子内窥镜,内窥镜设备,1,1,87,8877,8965
BLT骨内牙种植体（3.3mm NC，SLActive 8mm）,牙种植体,口腔植入物,1,0,8940,0,8940
AutoSoft XC胰岛素输注管路,胰岛素泵配件,糖尿病管理设备,1,0,704,8233,8937
永久起搏电极导线,起搏电极导线,心脏节律管理设备,3,408,4969,3510,8887
诺贝尔Active TiUltra骨内牙种植体（NP 3.5x10mm）,牙种植体,口腔植入物,1,0,8744,134,8878
血糖监测系统,血糖监测系统,糖尿病管理设备,8,2,155,8686,8857
诺贝尔Replace CC骨内牙种植体（NP 3.5x13mm）,牙种植体,口腔植入物,1,0,8726,98,8824
SP骨内牙种植体（4.8mm WN，SLA 10mm）,牙种植体,口腔植入物,1,0,8811,0,8811
BL骨内牙种植体（3.3mm NC，SLA 10mm）,牙种植体,口腔植入物,1,0,8807,0,8807
英捷特植入式电极导线,植入式心脏电极导线,心脏节律管理设备,1,75,5972,2745,8792
AMS 800尿控系统,人工尿道括约肌,泌尿植入物,1,3,8500,270,8773
诺贝尔Active TiUltra骨内牙种植体（NP 3.5x11.5mm）,牙种植体,口腔植入物,1,0,8599,161,8760
SP骨内牙种植体（3.3mm RN，SLA 10mm）,牙种植体,口腔植入物,1,0,8750,0,8750
Sprint Fidelis植入式除颤电极导线,植入式心脏除颤电极导线,心脏节律管理设备,1,2110,6265,372,8747
AED Plus自动体外除颤器,自动体外除颤器,急救除颤设备,1,200,9,8527,8745
美敦力530G胰岛素泵（阈值暂停功能）,胰岛素泵/人工胰腺系统,糖尿病管理设备,1,19,2486,6234,8739
SP骨内牙种植体（4.1mm RN，SLA 10mm）,牙种植体,口腔植入物,1,0,8738,0,8738
BLT骨内牙种植体（4.1mm RC，SLA 12mm）,牙种植体,口腔植入物,1,0,8702,0,8702
AMS可膨胀阴茎假体,阴茎假体,泌尿植入物,1,1,8001,667,8669
Signia植入式吻合钉,植入式吻合器/钉,外科植入物,1,7,554,8069,8631
骨内牙种植体（SLActive表面）,牙科种植体,口腔植入物,2,0,8581,0,8581
协同冠状动脉药物洗脱支架,冠状动脉支架,心血管介入器械,1,345,1907,6303,8557
无张力阴道吊带,盆底修复网片,妇产科手术器械,1,4,8383,160,8553
诺贝尔替换锥形沟槽种植体 RP 4.3x13mm,牙种植体,口腔种植器械,1,0,8478,32,8510
15型硅胶填充乳房植入体,乳房植入体,整形外科植入物,1,3,8500,4,8507
植入式自动心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,10,257,5596,2651,8505
840呼吸机,呼吸机,呼吸支持设备,1,36,709,7704,8471
帕拉迪姆实时瑞维胰岛素输注泵 MMT-723NAS,胰岛素输注泵,胰岛素给药装置,1,67,2245,6146,8458
杜拉塔 STS 奥普提姆主动固定除颤电极,除颤电极,心脏节律管理器械,1,519,5336,2579,8437
绿光莫西光纤,激光手术光纤,激光手术器械,1,0,559,7856,8415
超精确谐波刀,超声手术刀,超声手术器械,1,4,70,8300,8410
心室辅助系统控制器,心室辅助装置,循环支持设备,5,26,271,8111,8408
胰岛素输注泵,胰岛素输注泵,胰岛素给药装置,16,43,3621,4717,8389
精确光谱脊髓刺激器,脊髓刺激器,神经调控植入物,1,28,8221,19,8269
诺贝尔平行 CC 钛超 NP 3.75x11.5mm,牙种植体,口腔种植器械,1,0,8126,139,8265
内腕单极弯剪,手术剪刀,手术器械,1,2,157,8050,8209
维拉呼吸机,呼吸机,呼吸支持设备,1,22,1506,6657,8187
伊昂迷你脊髓刺激植入式脉冲发生器,脊髓刺激器,神经调控植入物,1,46,7428,704,8183
诺贝尔替换 CC RP 4.3x13mm,牙种植体,口腔种植器械,1,0,8083,99,8182
心脏拯救混合型 B型插头主动脉内球囊反搏系统,主动脉内球囊反搏泵,心血管介入器械,1,24,17,8113,8154
脊髓刺激器,神经刺激器,神经调控设备,5,42,7124,977,8143
诺贝尔主动钛超 RP 4.3x13mm,牙种植体,口腔种植器械,1,0,7967,172,8139
SP 4.8mm WN SL活性 8mm TIZR NTP 牙种植体,牙种植体,口腔种植器械,1,0,8104,0,8104
BLT 3.3mm NC SLA 12mm 钛 LOXIM 牙种植体,牙种植体,口腔种植器械,1,0,8093,0,8093
英特美特输注泵,输注泵,输液泵/输注泵,1,0,4,8080,8090
起搏器/ICD/CRT非植入组件,心脏植入设备配件,心脏节律管理设备,1,0,10,8064,8074
自动发药柜,药房自动化设备,药品管理设备,1,0,0,8054,8054
药物洗脱永久起搏电极,起搏电极,心脏节律管理设备,1,35,5722,2283,8040
永久起搏电极,起搏电极,心脏节律管理设备,1,186,5007,2832,8032
人工胰腺系统传感器,人工胰腺系统组件,糖尿病管理设备,1,6,1721,6277,8004
胰岛素泵储药器,胰岛素泵配件,胰岛素给药装置,2,4,602,7310,7941
无创呼吸机,呼吸机,呼吸支持设备,2,90,1373,6475,7938
血糖试纸,血糖监测试纸,糖尿病管理设备,1,0,166,7750,7916
左心室辅助装置,心室辅助装置,心脏支持设备,1,1388,5188,1293,7873
人工胰腺系统发射器,人工胰腺系统组件,糖尿病管理设备,1,0,38,7813,7851
植入式心脏复律除颤器,植入式除颤器,心脏节律管理设备,1,193,4259,3373,7827
胰岛素输注泵（配合有创血糖传感器）,胰岛素注射泵/输注系统,胰岛素给药装置,4,60,3201,4549,7810
左心室辅助装置植入套件,心室辅助装置,心脏支持设备,1,3194,3904,705,7803
储液器,输液泵配件,输液管理设备,1,8,1477,6269,7758
植入式心力衰竭脉冲发生器,心脏再同步治疗设备,心脏节律管理设备,1,125,4314,3294,7735
骨内牙种植体（锥形，4.3x13mm）,牙种植体,口腔种植修复系统,1,0,7676,44,7720
植入式心律转复除颤器,植入式心脏复律除颤器,心脏节律管理设备,16,97,3011,4593,7716
冷冻溶脂系统,冷冻减脂设备,美容与皮肤治疗设备,1,0,7567,141,7708
主动脉内球囊反搏系统,主动脉内球囊反搏泵,心脏辅助装置,7,98,58,7542,7699
全植入式脊髓刺激器,植入式神经刺激器,神经调控设备,1,2,2816,4875,7693
骨内牙种植体（主动内连接，4.3x15mm）,牙种植体,口腔种植修复系统,1,0,7521,156,7677
骨内牙种植体（锥形带槽，3.5x10mm）,牙种植体,口腔种植修复系统,1,0,7563,47,7610
持续呼吸机（院内使用）,有创/无创呼吸机,呼吸支持设备,1,79,113,7410,7602
连续呼吸机（院内使用）,呼吸机,呼吸治疗与通气设备,1,79,113,7410,7602
630G胰岛素泵（阈值暂停功能）,胰岛素泵/输注系统,胰岛素给药装置,1,71,2250,5269,7590
骨内牙种植体（平行壁，4.3x11.5mm）,牙种植体,口腔种植修复系统,1,0,7474,114,7588
实时胰岛素输注泵,胰岛素输注泵,胰岛素给药装置,10,42,1775,5726,7546
根形骨内种植体,牙种植体,口腔植入物,7,0,7539,1,7540
巴德平片补片,外科补片,疝修补与软组织修复材料,1,33,7461,23,7517
西罗莫司洗脱冠状动脉支架,药物洗脱支架,冠状动脉介入器械,1,596,5130,1748,7498
通用外科手术包,手术包/托盘,手术室耗材与配件,1,0,181,7310,7491
Perfix网塞补片,外科补片,疝修补与软组织修复材料,1,16,7424,19,7459
氙灯光源（内窥镜用）,内窥镜光源,内窥镜成像系统,1,0,62,7382,7444
骨内牙种植体（螺旋形，钛，4.0x10mm）,牙种植体,口腔种植修复系统,1,0,7404,0,7404
可膨胀阴茎假体,阴茎假体,泌尿生殖系统植入物,5,1,6629,726,7357
Guardian 4 传感器（5个装）,动态血糖监测传感器,胰岛素给药装置,1,1,1186,6138,7325
骨内牙种植体（4.8mm宽颈，SLActive表面，10mm长）,牙种植体,口腔种植修复系统,1,0,7320,0,7320
骨内牙种植体（4.1mm，RC连接，SLA表面，8mm长）,牙种植体,口腔种植修复系统,1,0,7308,0,7308
脊髓刺激电极,脊髓刺激系统,神经调控装置,1,9,6878,405,7298
血管内输液管路,输液管路,输液管理设备,3,13,1624,5657,7296
诺贝尔Active骨内牙种植体 5.5x10mm,牙种植体,口腔植入物,1,1,7191,91,7283
血管内滤器,血管内滤器,心血管植入物,1,79,5985,1187,7258
Impella 5.5 临时左心辅助血泵,左心辅助装置,心脏辅助装置,1,889,3313,3048,7250
INRatio 凝血酶原时间检测,凝血功能检测,体外诊断试剂,1,11,826,6191,7175
雅培瞬感3 Plus 持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测装置,1,11,1107,6051,7169
胃肠视频内窥镜,消化内窥镜,内窥镜系统,1,0,34,7124,7158
骨内牙种植体 4.1mm RC SLA 10mm 钛 Loxim,牙种植体,口腔植入物,1,0,7147,0,7147
GE OEC 9800 荧光X射线机,X射线透视设备,医学影像设备,1,1,16,7119,7142
Confirm 植入式心脏监测器,植入式心脏监测器,心脏监测装置,1,3,980,6149,7133
诺贝尔Replace CC TiUltra RP 4.3x10mm 骨内牙种植体,牙种植体,口腔植入物,1,0,7044,63,7107
植入式脉冲发生器,心脏起搏器,心脏节律管理设备,6,665,3773,2597,7084
爱德华SAPIEN 3 经导管主动脉瓣,经导管主动脉瓣,心脏瓣膜植入物,1,624,6288,167,7080
Ingevity MRI 植入式电极导线,心脏起搏电极导线,心脏节律管理装置,1,8,5057,1999,7064
LINQ II 植入式心脏事件监测器,植入式心脏监测器,心脏监测装置,1,2,249,6788,7039
Fast-Fix 360 弯曲针输送系统 不可吸收聚乙稀缝线,不可吸收缝线,外科缝合材料,1,1,1704,5328,7033
Folfusor 弹性输液泵,弹性输液泵,输液装置,1,1,31,6998,7032
植入式心律转复除颤器,植入式心脏除颤器,心脏节律管理设备,12,66,3544,3381,6995
Precision Spectra 脊髓刺激器,脊髓刺激系统,神经调控装置,1,38,6004,950,6992
Seven内六角牙种植体,牙种植体系统,口腔种植修复器械,2,0,6989,0,6989
牙科骨内种植体,牙科种植体,口腔科植入物,5,0,6971,6,6977
骨内牙种植体 4.8mm RC SLActive 10mm TiZr NTP,牙种植体,口腔植入物,1,0,6973,0,6973
罗氏卓越型血糖试纸,血糖试纸,血糖监测系统,7,2,518,6406,6928
植入式心律转复除颤器（非心脏再同步治疗）,植入式心脏复律除颤器,心脏节律管理设备,1,17,5426,1483,6926
血糖监测试纸,血糖监测试纸,血糖监测系统,1,1,189,6696,6886
骨内牙种植体（根形）,牙种植体,口腔种植系统,2,0,6885,0,6885
内窥镜用抓钳,内窥镜手术器械,内窥镜手术系统,1,0,207,6659,6866
移动式C形臂X射线成像系统,移动式X射线成像系统,医学影像设备,1,0,85,6646,6732
血糖监测仪,血糖监测仪,血糖监测系统,1,1,97,6591,6717
植入式电极导线,心脏起搏电极导线,心脏节律管理设备,4,11,3866,2796,6673
血糖试纸,血糖监测试纸,血糖监测系统,6,0,291,6364,6656
超声手术刀,超声手术器械,外科手术能量设备,1,1,46,6604,6651
胰岛素输注泵（配合有创血糖传感器）,胰岛素输注泵,胰岛素给药系统,1,44,2640,3880,6564
西罗莫司洗脱冠状动脉支架,药物洗脱冠状动脉支架,冠状动脉支架系统,1,832,4474,1168,6509
植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,17,152,2810,3509,6486
植入式脊髓刺激器,植入式神经刺激器,神经调控系统,1,18,6407,48,6473
可弯曲电子内窥镜,电子内窥镜,内窥镜系统,1,1,37,6406,6444
自动发药柜,药房自动化设备,医院药房管理系统,1,0,3,6428,6431
单激素控制人工胰腺系统,人工胰腺系统,胰岛素给药系统,1,12,1274,5125,6411
PENTAX 视频结肠镜 I10 标准型,电子内窥镜,内窥镜系统,1,0,15,6374,6389
BLT 骨内牙种植体 2.9mm SC SLActive 10mm RXD LOXI,牙种植体,口腔植入物,1,0,6367,0,6367
OT Verio 血糖试纸,血糖监测系统,体外诊断试剂,1,0,40,6295,6351
EVIS EXERA III 电子支气管镜,电子内窥镜,内窥镜系统,1,4,364,5971,6339
GM Helix 骨内牙种植体 钛 3.5x10mm,牙种植体,口腔植入物,1,0,6338,0,6338
BLT 骨内牙种植体 2.9mm SC SLActive 12mm RXD LOXI,牙种植体,口腔植入物,1,0,6291,0,6291
Guardian 4 传感器 MMT-7040C1 5只装,胰岛素泵系统,胰岛素给药装置,1,0,102,6132,6234
SP 骨内牙种植体 4.1mm RN SLA 8mm 钛 LOXIM,牙种植体,口腔植入物,1,0,6214,0,6214
Mentor 光滑圆形中高凸度盐水乳房假体,乳房植入物,整形外科植入物,1,0,6089,121,6210
BL 骨内牙种植体 4.8mm RC SLA 10mm TIZR NTP,牙种植体,口腔植入物,1,0,6188,0,6188
EndoWrist 马里兰双极钳,手术器械,微创手术器械,1,2,109,6064,6175
Colleague CX 容积式输液泵,输液泵,输液管理设备,1,2,26,6121,6158
Replace Select Tapered PMC RP 骨内牙种植体 4.3x10mm,牙种植体,口腔植入物,1,1,6092,61,6154
IsoFlex Optim 起搏电极导线,心脏起搏电极,心脏节律管理设备,1,141,2975,3031,6148
NobelActive TiUltra RP 骨内牙种植体 5.0x10mm,牙种植体,口腔植入物,1,0,6055,77,6132
BL 骨内牙种植体 4.1mm RC SLA 12mm TIZR NTP,牙种植体,口腔植入物,1,0,6108,0,6108
NobelActive Internal NP 骨内牙种植体 3.5x15mm,牙种植体,口腔植入物,1,0,5950,137,6087
Parietex 聚酯外科补片,外科补片,植入性修补材料,1,51,5939,92,6082
Spectra WaveWriter 脊髓神经刺激器,脊髓刺激系统,神经调控设备,1,19,6055,5,6079
Penta 脊髓刺激电极 3mm 60cm,脊髓刺激电极,神经调控设备,1,16,5978,71,6067
